mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_63962,CC1(C)OC2CCC2=C1,3.43076,1.24253,1.20203,1.2735,85.91,-0.2257,0.011,0.2366,1170.8338,0.181771,-387.074992,-387.066382,-387.065438,-387.107732,34.181
gdb_111115,CCC1C2OC1C1CC21,3.43429,1.24351,1.14727,1.5698,80.92,-0.24,0.0896,0.3296,1182.9359,0.184076,-387.039189,-387.031434,-387.03049,-387.071353,31.559
gdb_24283,C1C2CC3=COC=C3N12,3.95613,1.58948,1.23728,1.9609,74.1,-0.2137,0.0177,0.2315,971.9021,0.127757,-400.742359,-400.736104,-400.73516,-400.77281,25.82
gdb_46956,O=C1OCC2CN3C2C13,2.88925,1.90744,1.43737,4.7541,67.76,-0.2553,-0.0087,0.2466,902.8252,0.127063,-437.872351,-437.865805,-437.864861,-437.903321,26.03
gdb_77486,CC12NC(C)(C1O)C2=O,1.9842,1.921,1.19576,1.4188,73.55,-0.2359,-0.0054,0.2304,1081.3137,0.14594,-439.045891,-439.036837,-439.035893,-439.07919,33.863
gdb_85148,CC(=O)C1C(O)CC1=O,1.94698,1.769,1.07606,1.6358,70.18,-0.2535,-0.0531,0.2004,1127.2784,0.133278,-458.990893,-458.981981,-458.981037,-459.024994,32.664
gdb_13205,C1C(CO1)C(=O)CO,5.64768,1.1003,1.05577,2.427,61.51,-0.2599,-0.0399,0.2199,1118.5507,0.129345,-420.860719,-420.852544,-420.851599,-420.895033,28.196
gdb_57714,CC(C)(C#N)OCC=O,3.15815,0.81981,0.7624,3.6481,73.56,-0.2684,-0.0385,0.2299,1520.872,0.142608,-439.093481,-439.082878,-439.081934,-439.130659,36.221
gdb_79502,CN1C2C3CC2C13C=O,2.34899,1.87828,1.26426,2.2275,77.21,-0.2265,-0.0392,0.1874,1026.1486,0.146547,-401.852692,-401.844782,-401.843838,-401.885142,30.238
gdb_39161,C1C2OCC3=CCCC123,3.09979,1.68419,1.25516,1.4041,81.55,-0.2128,0.0186,0.2314,1024.9797,0.161674,-385.882834,-385.875685,-385.874741,-385.914236,29.103
gdb_30171,CC1CC2=C(NC=C2)O1,4.35127,1.27289,1.03205,0.7341,78.47,-0.169,0.0625,0.2316,1157.8401,0.149869,-401.981697,-401.97391,-401.972966,-402.014128,30.401
gdb_77821,CC1C2C(=O)OCC12C,2.37973,1.52046,1.31381,4.665,75.43,-0.2579,0.0122,0.2701,1082.9234,0.159411,-423.070826,-423.062299,-423.061355,-423.103624,32.42
gdb_20864,CCCc1ccn[nH]1,6.49811,1.03678,0.96154,2.744,74.2,-0.2303,0.0269,0.2572,1244.4552,0.155913,-344.017194,-344.009184,-344.008239,-344.05066,28.954
gdb_91556,OC1CN2CC12C1CC1,2.87092,1.33233,1.08636,1.7986,79.25,-0.23,0.0649,0.2949,1180.4984,0.171154,-403.082392,-403.073834,-403.07289,-403.11602,32.944
gdb_29247,NC1=CNC(=N)OC1=O,3.2863,1.45115,1.00818,4.2468,71.06,-0.2034,-0.0434,0.1599,1088.2665,0.102525,-470.063311,-470.055398,-470.054454,-470.095893,29.615
gdb_88210,OC1CC11CCCOC1,3.25672,1.18882,1.02367,1.3002,78.71,-0.2421,0.0777,0.3199,1227.7009,0.183899,-424.215494,-424.207097,-424.206153,-424.248136,33.328
gdb_6517,CC1(O)CC1(C)C#N,2.95116,1.83588,1.40859,5.424,69.69,-0.2743,0.0377,0.312,936.8576,0.139679,-363.868539,-363.859596,-363.858651,-363.901298,32.925
gdb_55851,CC(=O)CC1NC1(C)C,3.54856,0.81975,0.73468,2.1379,83.84,-0.2345,-0.0079,0.2266,1640.8275,0.190634,-404.357947,-404.347087,-404.346142,-404.395039,38.848
gdb_59320,CC(O)C1OC(=N)C1C,2.7063,1.21644,0.92081,2.8593,76.77,-0.2571,0.0289,0.286,1301.8873,0.169188,-440.29079,-440.280919,-440.279975,-440.325654,36.088
gdb_102973,COC(COC=O)C=O,2.13763,1.10563,0.85968,4.5114,66.69,-0.2587,-0.0454,0.2133,1366.5244,0.131728,-496.107986,-496.09785,-496.096906,-496.144745,33.489
gdb_10412,CNC1(COC1)C#N,2.65437,1.94632,1.39879,3.3517,64.87,-0.251,0.016,0.267,924.4096,0.130265,-379.89125,-379.883029,-379.882085,-379.924311,28.989
gdb_60142,CC(C)OC1C2COC12,3.39693,1.02799,0.96521,2.6422,79.05,-0.2277,0.0732,0.3009,1340.9739,0.180504,-424.169768,-424.160463,-424.159519,-424.204597,34.635
gdb_27566,Cc1cc(cnc1)C#N,3.42461,1.20483,0.89622,4.3494,82.55,-0.2734,-0.0628,0.2105,1231.1518,0.11454,-379.753193,-379.745331,-379.744387,-379.786767,28.271
gdb_61122,CC(CC#N)(C=O)C=O,2.07686,1.32275,1.01416,2.3088,70.12,-0.2753,-0.0784,0.197,1194.6301,0.120108,-437.916812,-437.906877,-437.905933,-437.952718,33.657
gdb_41939,C1CC2OCC=CC2O1,3.27466,1.52299,1.09901,0.6911,76.49,-0.2386,0.0127,0.2513,1096.2145,0.161902,-423.023273,-423.015923,-423.014979,-423.055163,29.002
gdb_103661,CC1(CO)CC(C1)C#C,2.58246,1.17841,0.9627,0.9946,84.76,-0.2508,0.0508,0.3016,1304.6401,0.180218,-387.04566,-387.03568,-387.034736,-387.080294,37.705
gdb_113971,CCC1CC1CCC#N,3.89383,0.62615,0.576,4.2807,87.95,-0.2812,0.0386,0.3199,1957.254,0.193546,-367.226308,-367.216047,-367.215102,-367.262745,36.755
gdb_17317,CC1C2N3CC3C12C,2.61212,2.42745,1.65218,1.7214,75.05,-0.2145,0.0699,0.2844,879.7138,0.165228,-327.834618,-327.826913,-327.825969,-327.866013,30.264
gdb_103381,OCC1(O)C2CCC1O2,2.78847,1.49775,1.26856,3.9531,70.18,-0.2416,0.0523,0.2939,1052.1018,0.159831,-460.125326,-460.117243,-460.116299,-460.157639,32.223
gdb_120952,COCC1CC2CC1C2,4.27387,0.89783,0.87081,0.9358,86.34,-0.2497,0.0891,0.3388,1463.3377,0.207708,-388.270829,-388.262219,-388.261275,-388.304497,33.285
gdb_79172,CN1C2C3OC(C23)C1=O,2.88672,1.89187,1.41913,4.3259,68.36,-0.2235,0.0066,0.23,920.6118,0.125541,-437.863589,-437.856516,-437.855572,-437.895126,27.343
gdb_16907,CC1CCC2OC2C1,3.63615,1.75099,1.3639,1.7962,73.95,-0.2567,0.0833,0.34,967.9527,0.178955,-349.013629,-349.006191,-349.005247,-349.045021,29.457
gdb_47969,C1CC1(C=O)C#CC=O,2.89876,0.86638,0.70332,4.2732,80.97,-0.2661,-0.0633,0.2028,1536.4917,0.109664,-420.600484,-420.591326,-420.590382,-420.63574,31.331
gdb_70594,CC1(C)OCC2CC12O,2.08011,1.8497,1.46197,1.2678,77.42,-0.2468,0.0664,0.3132,1037.6253,0.181185,-424.225282,-424.216218,-424.215273,-424.258007,35.989
gdb_104215,CCC1(C)OCC11CN1,2.58362,1.25601,1.19245,1.9237,81.75,-0.2415,0.0677,0.3092,1213.847,0.192814,-404.311024,-404.301349,-404.300405,-404.345351,36.501
gdb_82338,CC1C2CC2OC1C#C,2.29192,1.68406,1.32638,1.5444,79.36,-0.2346,0.0366,0.2712,1052.6303,0.158738,-385.840948,-385.832557,-385.831612,-385.873584,32.952
gdb_90640,CC1OC2C1C2(C)C#C,3.65675,1.10721,1.00407,1.3325,83.34,-0.2285,0.0418,0.2703,1254.4898,0.156595,-385.820086,-385.810971,-385.810026,-385.853367,34.952
gdb_122042,OCCCC(C=O)C#C,2.66745,0.75004,0.60744,3.623,79.36,-0.2523,-0.0321,0.2201,1780.7156,0.15511,-422.992647,-422.981801,-422.980857,-423.030173,37.156
gdb_50609,C#CC1=NCCN1C=O,2.427,1.68795,1.00804,2.925,77.7,-0.2425,-0.0454,0.1971,1112.9946,0.112342,-416.805117,-416.796673,-416.795729,-416.839238,29.66
gdb_53516,CC#CCC(C)CC=O,5.45942,0.54763,0.52443,2.9316,89.33,-0.246,-0.0222,0.2237,2107.5104,0.178355,-387.085956,-387.074539,-387.073595,-387.125205,38.481
gdb_68887,OC12CC1(O)C1OCC21,2.38989,1.86936,1.42768,2.6328,67.8,-0.2311,0.0662,0.2973,954.1229,0.135605,-458.89844,-458.890669,-458.889725,-458.930318,30.596
gdb_94310,CC1(C)CC11CCC1O,2.26007,1.45925,1.13249,1.4145,86.26,-0.2458,0.07,0.3158,1216.7597,0.204449,-388.272516,-388.262802,-388.261858,-388.306406,38.003
gdb_86817,CC1C[NH+](CC([O-])=O)C1,4.1149,0.83444,0.78121,5.5112,76.32,-0.243,0.021,0.264,1508.1145,0.17078,-440.302072,-440.292932,-440.291988,-440.336823,33.433
gdb_78228,CN1C2C1C(C)(C)C2O,2.29002,1.50859,1.23299,1.1596,82.25,-0.2229,0.0716,0.2945,1153.8703,0.191869,-404.293599,-404.283741,-404.282797,-404.327294,37.879
gdb_32494,c1c(nc(o1)C=O)CO,6.70533,0.85487,0.76181,4.3536,69.73,-0.2559,-0.0742,0.1817,1388.9401,0.100318,-473.853116,-473.844864,-473.84392,-473.886923,28.44
gdb_29610,NC1=CNC=C1OC=N,3.22184,1.15358,0.88227,4.017,74.8,-0.1878,0.0262,0.214,1267.6347,0.125181,-434.082477,-434.073651,-434.072707,-434.117085,32.039
gdb_61684,OC(CC1CCC1)C=O,4.53816,0.76375,0.69218,2.1376,80.65,-0.2689,-0.0368,0.2321,1637.5713,0.181242,-424.225706,-424.216224,-424.21528,-424.260899,34.778
gdb_121517,CC(=O)C#CCCCO,5.55221,0.45821,0.42775,4.8459,84.6,-0.2523,-0.0439,0.2083,2477.2395,0.155529,-423.014759,-423.003603,-423.002659,-423.054302,37.055
gdb_76372,CC1(C(N)C1[NH3+])C([O-])=O,2.62365,1.21372,1.12465,13.7132,74.48,-0.1722,-0.0022,0.1701,1181.1329,0.159001,-456.297347,-456.287981,-456.287037,-456.331593,34.924
gdb_19598,OC1C2OC1C1CC21,4.37808,1.98049,1.84839,1.8507,62.5,-0.2537,0.0808,0.3345,763.0372,0.132702,-383.67727,-383.671399,-383.670454,-383.706834,24.932
gdb_40158,C1CC11CC2(CO2)CO1,3.79818,1.19795,1.09531,1.4008,75.52,-0.2382,0.0769,0.315,1163.6491,0.159026,-422.991864,-422.983912,-422.982968,-423.024845,31.085
gdb_95741,CC1OCCC(=C1)C#C,3.03838,1.15389,0.88246,0.6336,88.45,-0.2299,-0.0188,0.2111,1325.0538,0.1586,-385.874513,-385.865704,-385.86476,-385.907855,33.753
gdb_50489,C1CN(C=C1C#N)C=O,3.71322,1.00488,0.7987,5.308,81.76,-0.2361,-0.0552,0.1809,1333.2726,0.114065,-416.863657,-416.855439,-416.854495,-416.898323,28.525
gdb_57919,CN(C)C(=O)N1CCC1,3.13031,1.17888,0.92484,3.3454,81.5,-0.2264,0.0538,0.2802,1325.5865,0.182656,-420.421086,-420.411115,-420.410171,-420.456473,35.011
gdb_38847,C1CC2OC1CC1OC21,2.8324,1.86939,1.54561,2.8823,72.48,-0.2507,0.0772,0.3279,926.384,0.162966,-423.027718,-423.021024,-423.02008,-423.058663,27.676
gdb_133334,NC1=C(F)NN=NC1=N,2.408,1.88034,1.05672,3.8728,69.24,-0.2031,-0.0497,0.1534,1011.1499,0.089853,-490.179842,-490.172254,-490.17131,-490.211768,28.829
gdb_20139,C1OC1C1CC2CC12,5.12322,1.36672,1.2305,1.8051,71.49,-0.2501,0.0876,0.3377,1014.8795,0.154606,-347.746145,-347.73903,-347.738086,-347.777867,27.36
gdb_22487,CCC(=NO)CCC=O,3.12217,0.70409,0.61288,2.3316,80.35,-0.2457,-0.0253,0.2204,1802.5302,0.167596,-440.26004,-440.249332,-440.248388,-440.297407,37.072
gdb_84358,CC1C=CC(C)(O)C1=O,2.50543,1.48466,1.20371,3.1888,77.32,-0.2357,-0.0234,0.2123,1123.9283,0.156569,-423.056118,-423.04639,-423.045446,-423.091173,35.449
gdb_6545,CC(C)(O)C1(C)CO1,2.70154,1.87262,1.63017,1.7967,70.0,-0.2586,0.078,0.3367,933.5274,0.174114,-386.133379,-386.12421,-386.123266,-386.166228,35.261
gdb_10075,C#CCC(CO)CO,3.48399,1.16619,0.93256,1.9897,69.66,-0.2536,0.0461,0.2997,1221.7938,0.151951,-384.897962,-384.888693,-384.887749,-384.931963,33.733
gdb_66436,CC12C3C1C1(O)C3C21O,2.60833,1.70688,1.36135,1.7034,72.03,-0.2131,0.0579,0.271,994.6122,0.133192,-421.706769,-421.698455,-421.697511,-421.738998,32.57
gdb_25899,CC(=O)c1cocc1O,2.742,1.52481,0.9859,3.0768,69.84,-0.2192,-0.0541,0.1651,1125.0506,0.112267,-457.81671,-457.808693,-457.807749,-457.849722,29.55
gdb_20800,CCc1cn[nH]c1N,3.18176,1.79049,1.25555,3.2065,70.48,-0.202,0.0356,0.2376,983.1669,0.143963,-360.066261,-360.05791,-360.056966,-360.099961,30.013
gdb_13077,CC1COC1CC#C,4.28798,1.26502,1.05335,2.3286,73.78,-0.2428,0.0545,0.2974,1135.3965,0.152028,-347.752471,-347.743767,-347.742823,-347.786565,31.33
gdb_104206,CC1(CO)CCC11CO1,2.5053,1.28058,1.20466,0.3945,78.16,-0.2546,0.0696,0.3242,1175.1276,0.180685,-424.192094,-424.182564,-424.18162,-424.226145,36.026
gdb_53150,CC#CC1N2CC1(C)C2,3.29717,0.9781,0.8684,2.048,90.2,-0.2228,0.0338,0.2566,1440.3304,0.169952,-365.916182,-365.906852,-365.905907,-365.951264,34.265
gdb_62155,CC(CCC=O)CC=O,5.31522,0.53129,0.5048,0.6584,81.72,-0.2519,-0.0292,0.2227,2100.9395,0.178386,-424.250631,-424.239678,-424.238734,-424.288853,37.117
gdb_7440,CC(C)C(C)C(N)=O,2.78979,1.48868,1.21705,3.259,74.84,-0.2402,0.0368,0.277,1112.4652,0.186609,-366.313498,-366.303106,-366.302161,-366.349016,37.09
gdb_33163,CCCn1cccc1N,3.06593,1.06804,0.85628,1.6058,86.04,-0.1823,0.0545,0.2369,1418.0863,0.183555,-383.306865,-383.29708,-383.296136,-383.342596,35.637
gdb_66049,OC1(CNC1C#C)C#N,2.46876,1.34108,1.11954,2.4698,72.74,-0.2534,-0.0032,0.2502,1117.2304,0.110732,-416.743725,-416.734843,-416.733899,-416.777312,32.484
gdb_112960,CC(C)C1CC(CO)O1,2.76115,0.97017,0.92041,2.547,81.79,-0.2457,0.0673,0.313,1441.5808,0.20455,-425.415704,-425.405491,-425.404547,-425.451362,37.783
gdb_67639,CC12C3C4OC(CN13)C24,3.37311,1.77983,1.61454,1.9798,73.61,-0.2216,0.067,0.2886,900.4107,0.149639,-401.891788,-401.885212,-401.884268,-401.922355,27.469
gdb_56899,OC(C#N)C1CC(O)C1,2.67346,1.11744,0.98362,3.7863,72.16,-0.2731,0.0157,0.2888,1252.8556,0.146757,-439.075302,-439.06614,-439.065196,-439.109515,33.832
gdb_36182,C#CCC12CC3CC1N23,4.53635,1.14471,1.04565,1.8575,80.45,-0.2422,0.0531,0.2954,1171.1166,0.147829,-364.721274,-364.7135,-364.712556,-364.753771,30.498
gdb_119049,CCCC1(CC)OC1C,1.66952,1.26966,0.82129,1.7886,89.22,-0.2523,0.0768,0.3291,1557.3792,0.226207,-389.493004,-389.481685,-389.480741,-389.530181,41.022
gdb_88966,CC1OC1CC1(C)CC1,3.17796,0.9488,0.83446,1.8602,85.76,-0.254,0.0772,0.3311,1486.6849,0.203893,-388.267037,-388.257031,-388.256087,-388.302327,37.603
gdb_43739,C1CCC2(C1)CC(=O)N2,3.9844,1.05381,1.02654,4.1269,79.15,-0.2435,0.0404,0.2839,1244.8393,0.172483,-403.193421,-403.185005,-403.18406,-403.227492,32.045
gdb_101307,CCC(O)C1NC1C=O,3.14179,0.89288,0.75739,4.3499,77.35,-0.2463,-0.0216,0.2246,1533.4771,0.168469,-440.265147,-440.254928,-440.253984,-440.301316,36.345
gdb_112732,COC1CC(C)C1(C)C,2.34196,1.18604,1.00166,0.9595,89.62,-0.242,0.0813,0.3233,1384.6989,0.226439,-389.485536,-389.474675,-389.473731,-389.520774,40.748
gdb_538,COCCC=O,18.07094,1.30977,1.28212,2.8428,51.64,-0.2544,-0.0258,0.2285,896.28,0.117214,-307.563525,-307.556074,-307.55513,-307.595647,23.884
gdb_117538,CCCC(C#N)C(C)C,2.1404,0.98581,0.71038,3.8627,90.26,-0.3075,0.0372,0.3448,1687.9268,0.215539,-368.449339,-368.438008,-368.437064,-368.486357,40.633
gdb_123023,CCCOCC1NC1C,5.45468,0.53203,0.50947,1.2879,88.36,-0.244,0.0806,0.3246,2278.8501,0.215684,-405.52082,-405.509746,-405.508802,-405.558431,38.964
gdb_29185,Cc1cc(=O)[nH]cc1O,3.09067,1.35667,0.94829,4.7868,76.64,-0.1976,-0.0323,0.1654,1173.5275,0.125101,-437.959437,-437.951257,-437.950313,-437.991918,31.24
gdb_76451,CC1C(C)C1(C=O)C#C,2.14433,1.31932,1.20235,2.0865,84.51,-0.248,-0.0294,0.2186,1188.8487,0.155566,-385.862894,-385.852852,-385.851908,-385.897167,36.991
gdb_71462,CC12CC3(C#N)C(N1)C23,4.3365,1.20075,1.0963,4.1961,79.05,-0.2407,0.0207,0.2614,1119.0933,0.136919,-380.829982,-380.822373,-380.821429,-380.861814,29.899
gdb_121319,CCOC1CCNC1=O,2.69712,1.15548,0.9379,2.8062,76.65,-0.2259,0.0242,0.2501,1333.0604,0.17164,-440.327204,-440.317933,-440.316989,-440.362035,33.556
gdb_7749,CC1=CCOC(=O)C1,3.55707,1.75532,1.20124,4.3995,67.77,-0.2547,0.0095,0.2642,975.9976,0.130413,-383.790903,-383.783157,-383.782213,-383.824219,27.708
gdb_118423,CCC(COC)C(C)=O,1.99862,0.99781,0.78019,2.2116,83.54,-0.2426,-0.0135,0.2291,1609.6474,0.201888,-425.442986,-425.431345,-425.430401,-425.481342,39.922
gdb_13016,CC12CN1CCC2O,2.52371,2.47297,1.60566,2.0679,70.57,-0.2267,0.0672,0.2939,876.5432,0.166279,-365.047592,-365.039776,-365.038832,-365.079188,30.476
gdb_117952,CCOC(C)C(=O)NC,2.39047,0.96967,0.73087,3.4366,81.17,-0.2368,0.0386,0.2754,1626.6375,0.191529,-441.521371,-441.509956,-441.509011,-441.559296,39.217
gdb_26611,NC1=C(O)C(=N)OC=C1,2.39398,1.89543,1.05895,3.2815,76.24,-0.1816,-0.0206,0.161,1054.4534,0.114235,-453.985828,-453.978106,-453.977162,-454.017635,30.478
gdb_62893,CC1(O)C2OC1C21CN1,3.22728,1.51063,1.18387,2.5175,72.83,-0.235,0.0635,0.2985,1060.3189,0.145748,-438.972015,-438.963768,-438.962823,-439.00417,32.668
gdb_115665,CCC1COC1C#CC,2.29744,0.98224,0.74453,1.975,88.08,-0.2405,0.0298,0.2703,1609.5876,0.180442,-387.051118,-387.040552,-387.039608,-387.089216,36.288
gdb_36262,N#CCN1C2C3NC2C13,5.54101,1.00326,0.97293,3.1516,73.14,-0.2395,0.0174,0.257,1196.8198,0.125119,-396.807958,-396.800806,-396.799862,-396.840161,27.424
gdb_68199,OC12CC(C1)C(C2)C#C,3.60568,1.19348,1.11418,0.6966,80.82,-0.2528,0.0512,0.3039,1147.4975,0.159617,-385.848227,-385.84018,-385.839236,-385.880371,32.718
gdb_128720,COc1nc(on1)CO,4.92972,0.95024,0.8064,1.5763,64.07,-0.2665,-0.0207,0.2458,1362.5135,0.112013,-491.071479,-491.062837,-491.061893,-491.105637,29.727
gdb_131310,C1C=Cn2c1nc(n2)O,5.25642,1.33473,1.07148,3.4458,69.67,-0.2166,-0.0258,0.1908,1038.8813,0.104003,-432.900514,-432.893984,-432.89304,-432.931322,25.671
gdb_5622,Cc1cocc1NC,3.15527,1.85078,1.18636,1.8544,71.12,-0.188,0.0364,0.2244,1007.8373,0.142623,-363.884164,-363.876046,-363.875102,-363.916573,29.854
gdb_28897,Cc1c(cncc1O)O,2.29237,1.8286,1.02417,4.9357,75.03,-0.2184,-0.0143,0.2041,1098.1567,0.124532,-437.9469,-437.93853,-437.937586,-437.979665,31.48
gdb_95481,CC1CC(=O)C=CCO1,2.26195,1.53817,0.96199,3.1111,79.93,-0.2409,-0.0522,0.1887,1221.7564,0.159212,-423.051657,-423.043086,-423.042141,-423.085222,32.271
gdb_42349,C1CN(C1)C(=O)N2CC2,3.60585,1.15546,0.93338,3.2393,78.23,-0.2352,0.0386,0.2739,1276.5756,0.160175,-419.196752,-419.187976,-419.187032,-419.231286,31.214
gdb_56169,CC(=O)OCC1(CC1)O,3.20114,1.00819,0.89862,1.5024,72.28,-0.2545,0.0095,0.2641,1361.5265,0.156536,-460.185159,-460.175267,-460.174322,-460.221189,35.4
